# Observed Wavelength Air (nm)  	 
# Unc.  (nm)  	 
# Ritz Wavelength Air (nm)  	 
# Unc.  (nm)  
#  Rel.  Int.  (?) 
#  Aki (s-1)  
#  Acc.  Ei (cm-1)  
#   Ek (cm-1)  
#  Lower Level Conf., Term, J  
#  Upper Level Conf., Term, J  
#  Type  TP Ref.  
# Line
# Ref.
# 																		 
404.2642    	0.0020   	404.2647    	0.0013    	 500  	  	   	148 257.7898  	-  	172 987.07    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°1/2)8d  	 2[3/2]°  	 2  		  	L3469
404.5662    	0.0020   	404.5684    	0.0013    	 20  	  	   	148 257.7898  	-  	172 968.51    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)12s  	 2[3/2]°  	 2  		  	L3469
406.4036    	0.0020   	406.4023    	0.0008    	 500  	  	   	148 257.7898  	-  	172 857.00    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°1/2)9s  	 2[1/2]°  	 1  		  	L3469
406.4829    	0.0020   	406.4828    	0.0010    	 150  	  	   	148 257.7898  	-  	172 852.13    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°1/2)9s  	 2[1/2]°  	 0  		  	L3469
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
406.8835    	0.0020   	406.8832    	0.0013    	 300  	  	   	148 257.7898  	-  	172 827.93    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)10d  	 2[3/2]°  	 2  		  	L3469
406.9243    	0.0020   	406.9228    	0.0022    	 300  	  	   	148 257.7898  	-  	172 825.54    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)10d  	 2[1/2]°  	 1  		  	L3469
406.9389    	0.0020   	406.9388    	0.0020    	 50  	  	   	148 257.7898  	-  	172 824.57    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)10d  	 2[1/2]°  	 0  		  	L3469
407.9359    	0.0020   	407.9347    	0.0008    	 20  	  	   	148 257.7898  	-  	172 764.60    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)11s  	 2[3/2]°  	 1  		  	L3469
408.0148    	0.0020   	408.0143    	0.0010    	 500  	  	   	148 257.7898  	-  	172 759.82    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)11s  	 2[3/2]°  	 2  		  	L3469
  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	  	 
411.1882    	0.0020   	411.1859    	0.0008    	 10  	  	   	148 257.7898  	-  	172 570.83    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)9d  	 2[3/2]°  	 1  		  	L3469
411.2100    	0.0020   	411.2101    	0.0007    	 150  	  	   	148 257.7898  	-  	172 569.40    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)9d  	 2[3/2]°  	 2  		  	L3469
411.2694    	0.0020   	411.2688    	0.0008    	 200  	  	   	148 257.7898  	-  	172 565.93    	 2s22p5(2P°3/2)3p  	 2[1/2]  	 1  	 2s22p5(2P°3/2)9d  	 2[1/2]°  	 1  		  	L3469
